city	lat	lon
Ragusa	36.92694000000006	14.725400000000036
Leipzig	51.345200000000034	12.385940000000062
Trebizond	41.00500000000005	39.72694000000007
Hamburg	53.55562000000003	9.987450000000024
Gazimagusa	35.10978000000006	33.944450000000074
Alexandria	31.210500000000025	29.91253000000006
Toledo	39.8628	-4.0273
Tunis	34.11631798800005	9.60851649600005
Chania	35.51200000000006	24.012290000000064
Tyre	33.27057000000008	35.20016000000004
Novgorod	58.52339000000006	31.270080000000064
Danzig	54.3520	18.646
Messina	38.17837000000003	15.553080000000023
London	51.507408360000056	-0.12769869299995662
Beograd	44.81310000000008	20.46329000000003
Lubeck	53.86627000000004	10.68082000000004
Lyon	45.75917000000004	4.829650000000072
Caffa	45.03677000000005	35.377890000000036
York	53.96202664900005	-1.0836835879999285
Budapest	47.49972000000008	19.055080000000032
Barcelona	41.388040000000046	2.1700100000000475
Bordeaux	44.836700000000064	-0.5810699999999542
Venice	45.4408	12.3155
Cordoba	37.8882	-4.7794
Oslo	59.91234000000003	10.750000000000057
Visby	57.63844000000006	18.300040000000024
Rhodes	36.448120000000074	28.22566000000006
Corfu	39.61863000000005	19.907750000000078
Augsburg	48.370340000000056	10.897880000000043
Lisbon	38.72639000000004	-9.149479999999926
Tripoli	32.89534000000003	13.181050000000027
Valencia	39.4699	-0.3763
Naples	40.840160000000026	14.252220000000023
Antioch	36.1217	36.1054
Constantinople	41.01384000000007	28.94966000000005
Florence	43.78237000000007	11.255010000000027
Vienna	48.202630000000056	16.36842000000007
Cadiz	36.52988000000005	-6.2902599999999325
Santiago	42.8769	-8.5442
Basel	47.54880000000003	7.587810000000047
Prague	50.07913000000008	14.433020000000056
Reval	59.436960000000056	24.75353000000007
Crakow	50.0647	19.9450
Rome	41.90322000000003	12.495650000000069
Chester	53.1934	-2.8931
Milan	45.46796000000006	9.18178000000006
Berwick	55.7702	-2.0054
Palma	39.57155000000006	2.646630000000073
Bruges	51.208470000000034	3.2245000000000346
Riga	56.94598000000008	24.114870000000053
Lvov	49.84441000000004	24.02543000000003
Bergen	60.39075000000008	5.332830000000058
Marseilles	43.29695000000004	5.3810700000000224
Erfurt	50.97793000000007	11.023510000000044
Frankfurt	50.11208000000005	8.683410000000038
Genoa	44.410480000000064	8.939170000000047
Cologne	50.941680000000076	6.955130000000054
Akkerman	52.93802000000005	36.14441000000005
Kiev	50.45056000000005	30.524280000000033
Algiers	36.7538	3.0588
Paris	48.85717000000005	2.3414000000000215
Southampton	50.90488212100007	-1.4043038709999678
